número de nodos,total de operações
1712,51470400
1713,51530449
1714,51590538
1715,51650657
1716,51710816
1717,51771005
1718,51831234
1719,51891493
1720,51951792
1721,52012121
1722,52072490
1723,52132889
1724,52193328
1725,52253797
1726,52314306
1727,52374845
1728,52435424
1729,52496033
1730,52556682
1731,52617361
1732,52678080
1733,52738829
1734,52799618
1735,52860437
1736,52921296
1737,52982185
1738,53043114
1739,53104073
1740,53165072
1741,53226101
1742,53287170
1743,53348269
1744,53409408
1745,53470577
1746,53531786
1747,53593025
1748,53654304
1749,53715613
1750,53776962
1751,53838341
1752,53899760
1753,53961209
1754,54022698
1755,54084217
1756,54145776
1757,54207365
1758,54268994
1759,54330653
1760,54392352
1761,54454081
1762,54515850
1763,54577649
1764,54639488
1765,54701357
1766,54763266
1767,54825205
1768,54887184
1769,54949193
1770,55011242
1771,55073321
1772,55135440
1773,55197589
1774,55259778
1775,55321997
1776,55384256
1777,55446545
1778,55508874
1779,55571233
1780,55633632
1781,55696061
1782,55758530
1783,55821029
1784,55883568
1785,55946137
1786,56008746
1787,56071385
1788,56134064
1789,56196773
1790,56259522
1791,56322301
1792,56385120
1793,56447969
1794,56510858
1795,56573777
1796,56636736
1797,56699725
1798,56762754
1799,56825813
1800,56888912
1801,56952041
1802,57015210
1803,57078409
1804,57141648
1805,57204917
1806,57268226
1807,57331565
1808,57394944
1809,57458353
1810,57521802
1811,57585281
1812,57648800
1813,57712349
1814,57775938
1815,57839557
1816,57903216
1817,57966905
1818,58030634
1819,58094393
1820,58158192
1821,58222021
1822,58285890
1823,58349789
1824,58413728
1825,58477697
1826,58541706
1827,58605745
1828,58669824
1829,58733933
1830,58798082
1831,58862261
1832,58926480
1833,58990729
1834,59055018
1835,59119337
1836,59183696
1837,59248085
1838,59312514
1839,59376973
1840,59441472
1841,59506001
1842,59570570
1843,59635169
1844,59699808
1845,59764477
1846,59829186
1847,59893925
1848,59958704
1849,60023513
1850,60088362
1851,60153241
1852,60218160
1853,60283109
1854,60348098
1855,60413117
1856,60478176
1857,60543265
